Description,Name,Primary Industry,Size,Type,Location,Country,Domain,Agency LinkedIn URL,ICP Score ,MRR,Annual Revenue,Accounting - Departmental Head Count,Finance - Department Head Count,Decision Maker First Name,Decision Maker Last Name,Decision Maker Linkedin Profile URL,Connection Request Message,Follow-Up on Unaccepted Connection,Message After Connection Acceptance,Follow-Up Message (No Reply After Acceptance),Second Follow-Up Message (Persistent No Reply),"Initial Outreach Message (Reference Pain Point, No Pitch)",First Follow-Up Message (Prompt for Response),Second Follow-Up Message (After No Reply)
"SMAKK is a strategic creative agency uplifting the world through greater wellbeing. We differentiate brands in an overwhelming, highly competitive landscape. Helping those who are doing things the right way, win. And those who want to do things the right way, get there.

We have deep expertise in the wellness category and over 12 years of experience helping companies develop comprehensive brand platforms, design CPG packaging programs, build beautiful, results-driven eCommerce websites, and produce content to launch and grow brands. Clients include Burt’s Bees, Shiseido, Jergens, Walmart, and SC Johnson.

Ready to get started? Let's Connect!

Email us at hello@smakkstudios.com or visit us at smakkstudios.com to learn more about how we can help you build your brand for what’s next.",SMAKK Studios,Advertising Services,11-50 employees,Privately Held,"New York, NY",United States,smakkstudios.com,https://www.linkedin.com/company/smakk-studios,,,,,,,,,,,,,,,,
"At Adspire LLC, our purpose is to help online businesses and e-commerce brands profitably scale their audiences and sales with multi-channel targeted traffic acquisition.

We are 100% data and performance driven. Why is that so good for our clients? Because we don’t charge a penny if we don’t increase their net profits.

Since 2015, we generated over $50 mln in revenue via content marketing and $100 mln in product sales throughout Europe and the US on marketplaces (such as Groupon, Amazon, etc.) and owned properties.",Adspire LLC,Advertising Services,11-50 employees,Privately Held,"WEST PALM BEACH, FL",United States,adspirellc.com,https://www.linkedin.com/company/adspirellc,,,,,,,,,,,,,,,,
"OJDS is a top Amazon agency offering product listing optimization services for Amazon sellers selling in the US, Canada, Mexico, and all over Europe (UK, Germany, Italy, France, Spain, Netherlands, Poland and Sweden).

It is made up of a young team of people from all over the world helping amazon sellers boost their product listings' conversion rate.",OJ Digital Solutions,Advertising Services,11-50 employees,Privately Held,Wilmington,United States,ojdigitalsolutions.com,https://www.linkedin.com/company/ojdigitalsolutions,,,,,,,,,,,,,,,,
"Mojo Media Labs is now Gravity Global!

We are happy to announce that Mojo Media Labs is now part of Gravity Global, the world’s most awarded B2B and complex markets agency. We’re excited to combine our teams and expertise to take our work to the next level.

Mojo Media Labs is a full-service growth marketing agency, with locations in Indianapolis and Dallas, that helps clients attract and engage their ideal customers via customized growth plans. Instead of succumbing to random acts of marketing, complex technology and siloed departments, our clients learn to rely on data, strategy and growth opportunities across all business domains. 

We offer account-based marketing, inbound marketing, branding, website design & development, sales & marketing alignment, sales enablement and marketing automation.

As a Forbes 2020 Small Giant, an Inc. 5000 Fastest-Growing Private Company in America 2020, and a 2019 Inc. Best Place to Work, we believe happy people = happy clients. Our creative problem-solvers are seasoned, certified HubSpot marketing experts. Our clients choose us to integrate Salesforce and HubSpot, migrate to HubSpot CRM, create custom websites on HubSpot CMS Hub and more.

With our help, clients align their teams toward the same goal, speak to the right audience and stay ahead of the competition.",Mojo Media Labs,Advertising Services,11-50 employees,Privately Held,"Irving, Texas",United States,mojomedialabs.com,https://www.linkedin.com/company/mojo-media-labs,,,,,,,,,,,,,,,,
"We are passionate digital marketers! Brain Bytes Creative is a diverse and close-knit team of creative individuals who love what we do. We are developers, programmers, designers, video directors, producers, writers, project managers, media specialists, advertising gurus, and most importantly, thinkers who are entrepreneurs at heart. 

We specialize in:

● Digital Marketing
     - Search Engine Optimization
     - Search Engine Marketing/Retargeting
     - Content Marketing
     - Conversion Rate Optimization
     - Social Media Management

● Web Development

● UI/UX

● Graphic Design
     - Website Design
     - Corporate Brand Development (Logos, Style Guides etc.)
     - Print
     - Powerpoint and Prezi
     - Trade Booths and Collateral
     - Infographics

We combine entertainment, digital, experiential, software, and film-making expertise with marketing savvy and originality. Our company creates strong, measurable results and solid relationships between companies and their current and prospective customers. Diligence, creativity, integrity, and perseverance are values ingrained in everything we do.",Brain Bytes Creative LLC,Advertising Services,11-50 employees,Privately Held,"Atlanta, Georgia",United States,brainbytescreative.com,https://www.linkedin.com/company/brain-bytes-creative-llc,,,,,,,,,,,,,,,,
"The digital performance marketing agency.
We Create, Scale & Supercharge Aspirational Lifestyle Brands",K2L,Advertising Services,11-50 employees,Privately Held,"Manchester, Greater Manchester",United Kingdom,k2l.co.uk,https://www.linkedin.com/company/k2l-marketing,,,,,,,,,,,,,,,,
"After over 20 years of doing drugs, bMod is still fresh! 

At bMod, we let the principles of behaviour modification dictate our strategy, and let our strategy dictate the high-impact, eye-catching tools we create. We have a wealth of experience in both digital and offline strategies, including Veeva Level 4 certification. And we get just as excited by the strategic nuggets that we uncover after hours of research and brainstorming as we do by the shiny things and flashy stuff that we produce every day.

bMod is your privately-owned, full-service, healthcare marketing agency.

Our clients are the inspiring pharma companies who deliver life-saving medical solutions every day. Together, our audience is the health care professionals that rely on these solutions to bring better care to their patients. We are proud to develop strategies and create tools that facilitate the necessary, life-saving conversations that happen between our clients and this audience.

Looking for the perfect strategic partner? Exploring job opportunities? Or just looking for a second opinion? We’ve got it, come get it.",bMod Communications,Advertising Services,11-50 employees,Privately Held,"Montreal, Quebec",Canada,bmodgroup.com,https://www.linkedin.com/company/bmod-communications,,,,,,,,,,,,,,,,
"Liverpool's leading digital marketing agency.  

From our office in Liverpool City Centre we plan, create and deliver beautiful websites & bespoke marketing campaigns which achieve the results our partners are looking for.

Our Blazingly fast websites are optimized for search engines and will provide you with the online and offline customers your business needs to grow.

Our bespoke marketing campaigns generated over 20,000 leads for our customers in 2019 and we are on target to double that in 2020! 

If you are looking for a Digital Agency who cares about the performance of your business and will give honest advice on where best to spend your money then contact us Today!

As a full-service agency, we are experts in all forms of digital media and analytics.

We can tell you exactly what is, and isn't, currently working for your business online and plan a strategy to help get you, customers fast!",Blaze Media,Advertising Services,11-50 employees,Privately Held,"Liverpool, England",United Kingdom,blazemedia.co.uk,https://www.linkedin.com/company/realblazemedia,,,,,,,,,,,,,,,,
"We elevate the desirability of brands by creating exciting and engaging creative platforms, advertising campaigns and customer experiences.

Using insight to connect brands more emotively with consumers, we transform businesses and create engaging campaigns and experiences.

Independently owned since 2001, Mynt has grown to become a leading creative agency for many global brands & retailers, including:
Nike, Auto Trader, Sport 2000, Polar, Ecco, Umbro, Timberland, Wrangler, Bestseller Group, Bissell, and Vibram.

For fresh ideas for your next brand campaign, get in touch:

ollie@mynt.co.uk
+44(0) 1664 423 110
www.mynt.co.uk",Mynt,Advertising Services,11-50 employees,Privately Held,"Leicester, Leicestershire",United Kingdom,mynt.co.uk,https://www.linkedin.com/company/mynt-design,,,,,,,,,,,,,,,,
"Who we are:

Savy is a Google Certified branding, web design and digital marketing agency. Our team of strategists, content creators, designers and developers in Bend, Oregon and Santa Barbara, California, share a passion for branding and big ideas, and for translating them into engaging user experiences. We arrived in the digital space in 2007 as a team of creative folks with bold ideas. Our founders are industry veterans, passionate about building engaging and enduring brands. Over the last few years, we’ve opened a second location in Santa Barbara, California, built a talented team and a lineup of fantastic clients, all of whom we feel lucky to work with. As a global agency, our teams speak Spanish, Portuguese and Russian. 

Let's Get to Work:

We’ve been at this together, as one team, for nearly a decade with experience that spans five times that. We’re always looking for our next content creator, SEO expert, social media guru, ninja developer, or designer extraordinaire, and we’re hoping that could be you.

If you are interested in an open position with Savy, please visit: https://savyagency.com/careers/",Savy Agency,Advertising Services,11-50 employees,Self Owned,"Bend, OR",United States,savyagency.com,https://www.linkedin.com/company/savy-agency,,,,,,,,,,,,,,,,
"Somos una agencia que trabaja la comunicación a 360°. Realizamos un trabajo personalizado y adaptado a cada una de las necesidades. Experimentamos sin miedo y nos atrevemos con todo.

Te ofrecemos experiencia, confianza, relación cercana y resultados profesionales.

Creemos en lo que hacemos y por eso nuestro trabajo es la mejor carta de presentación.",Distrito Agencia,Advertising Services,11-50 employees,Public Company,"Madrid, Comunidad de Madrid",Spain,distritoagencia.com,https://www.linkedin.com/company/distrito-agencia,,,,,,,,,,,,,,,,
Encontramos tu tono y lo posicionamos en el sector del entretenimiento.,Pitch Music Marketing,Advertising Services,11-50 employees,Privately Held,"Madrid, Madrid",Spain,pitchmusicmarketing.com,https://www.linkedin.com/company/pitchmusicmkt,,,,,,,,,,,,,,,,
"Refreshingly good!
Results driven multi-disciplinary branding and marketing studio.
London - Birmingham - Doha

Ajencia is a digital marketing and brand development agency that converges technical, marketing, and commercial insights to create strategies that are primarily focused on delivering out high-quality results.

We believe that growth comes from the maximisation of intellect, not just via the acquisition of power. Through innovation and media creativity, we help drive optimised return on investment for brands. 

At Ajencia, we deliver intelligent brand thinking and PR strategy right through to expert execution, offering accountable results for our clients to help them grow with confidence. 

Our journey begins from performance-based brand development and expertly delivered digital communication services, all the way to comprehensive social media marketing and advertising solutions. Our results are backed up by reliable data, years of experience, and broad perspectives to craft robust and effective campaigns for our clients. 

If you are interested in finding out more about what we do and how we can support you or your clients in achieving their digital marketing objectives, feel free to contact us by emailing info@ajencia.com or by calling +44 (0) 333 567 1978

#PaidSearchAdvertising #PaidSocialAdvertising #Analytics #WebDev #SEO #CRO",Ajencia,Advertising Services,11-50 employees,Public Company,London,United Kingdom,ajencia.com,https://www.linkedin.com/company/ajencia,,,,,,,,,,,,,,,,
"Espress Labs was founded in 2003 in Toronto Ontario as a small creative studio. Our primary goal was promoting modern marketing services, corporate brand identity, web design and web development to companies who were looking for something more, to companies who knew that they need to be different.

Today, Espress Labs creates and supports brands for clients across North America and Europe. Our services serve key client needs spread across all stages of modern brand building and management, from identification to the creation of brand meaning. Espress Labs works with a range of specialists in both branding and interactive media.",Espress Labs Inc,Advertising Services,11-50 employees,Privately Held,"Woodbridge, Ontario",Canada,espresslabs.com,https://www.linkedin.com/company/espress-labs-inc,,,,,,,,,,,,,,,,
"We help luxury, lifestyle and fashion brands make more sales online.

We do this by increasing conversions and profits through UX and customer research, A/B testing, and a fully managed conversion optimization program.

Through our Testing Trifecta optimization methodology, we're able to pinpoint exactly where your store is losing the most money, and we help you fix it.

We've increased conversions by hundreds of percents for our clients, such as Kiehl's and L'Oréal, creating million dollar impacts.

If you're serious about growing your ecommerce sales, get in touch with us at http://splitbase.com, or email our founder directly at raphael@splitbase.com",SplitBase,Advertising Services,11-50 employees,Privately Held,"Montreal, Quebec",Canada,splitbase.com,https://www.linkedin.com/company/splitbase,,,,,,,,,,,,,,,,
"We develop marketing communication through digital strategy, digital campaigns, measurement and follow-up focusing on performance and impact for our clients.

Digital strategy
With a focus on goal achievement, audience, content and channels  - we develop sharp and manageable strategies for our clients. The complexity of digital ecosystems requires a clear and well-established execution plan. This is one of the most important conditions for achieving the desired effect from your digital marketing initiatives.

Digital campaigns
We operate with cost-effective methods to generate high quality prospects from digital campaigns, which helps our clients grow and reach their business goals. Always with continuous follow-up and reporting. We are experts in Google AdWords, Remarketing, Display, Facebook Ads, Instagram Ads, LinkedIn Ads, etc.

Optimization & CRO
We believe in performance. The ability of managing as well as capitalizing on your online traffic holds huge potential. Through structured continuous work with conversion optimization (CRO) and landing pages, we know that digital communication has the potential of achieving high-level goals.

Measurement & Analysis
All valuable measurements starts by breaking down overall business goals to KPIs. We see this as a mandatory step to enable measurements and reports to fully support you in making the right decisions at the right time.",Vekst,Advertising Services,11-50 employees,Public Company,"Gothenburg, Vastra Gotaland",Sweden,vekst.se,https://www.linkedin.com/company/vekst,,,,,,,,,,,,,,,,
"We're OST, the global B2B social media agency that makes brands unmissable. Forget the fluff, the pointless shouting into the void. Just social media marketing that works.

Want to grow your LinkedIn presence, introduce advocates into your marketing mix or engage audiences with a creative campaign? We've got you.",OST,Marketing Services,11-50 employees,Privately Held,"Cambridge, Cambridgeshire",United Kingdom,ostmarketing.com,https://www.linkedin.com/company/ost-marketing,,,,,,,,,,,,,,,,
"Elevate your brand through powerful content and marketing that drives action. 

Wainscot Media helps brands rise above the noise with marketing solutions that stand out, convert and build lasting loyalty. We specialize in creating bold content and experiences across print, digital and events.  

As the parent company of local and nationally recognized media brands, Wainscot connects marketers with high-value consumer and trade audiences through world-class storytelling and design, precision targeting and strategic execution. 

We serve four key markets: 

Healthcare 
Wainscot Health delivers award-winning marketing for hospitals, health systems and medical practices. With more than 25 years of experience, we are trusted by over 150 healthcare organizations to build trust, inspire action and drive patient acquisition. 

Luxury 
From fashion and fine jewelry to real estate and home design, Wainscot Luxury Group helps top-tier brands reach affluent consumers through exclusive print and digital lifestyle experiences. We are the content partner of choice for many of the country’s most discerning retailers. 

Lifestyle 
We publish highly targeted lifestyle content that speaks directly to today’s active, family-focused consumers. Regional and national brands rely on us to reach readers where they live, shop and engage with their communities. 

Local 
Wainscot connects communities with high-quality, hyperlocal content in neighborhoods across the country. Our local media properties provide a trusted environment for advertisers to share stories, build reputation, and strengthen relationships. 

Whether you are a hospital, a luxury brand or a community business, Wainscot Media delivers strategy, storytelling and platforms that help you elevate your brand and your results.",Wainscot Media,Advertising Services,11-50 employees,Privately Held,"Park Ridge, NJ",United States,wainscotmedia.com,https://www.linkedin.com/company/wainscot-media,,,,,,,,,,,,,,,,
"At Crawford, our mission is to help leaders lead. Partnering with dynamic, visionary brands, we deliver results by providing strategic marketing focus, creativity, and flawless execution.

Our approach is driven by a rigorous process to gain a better understanding of consumer decision-making. This becomes our clients’ competitive advantage. How? It enables more effective decisions, and more powerful ideas that are aligned with the needs and motivations of the target audience. The result of that? Greater ROI. That’s making a difference.

We offer our clients expertise in a range of verticals including financial services, healthcare, travel and hospitality, and higher education.

In addition to being an award-winning creative agency that makes a difference for our clients, Crawford is a great place to work. We’ve been recognized as one of South Carolina’s Best Places to Work six straight times and counting.

Visit crawford.agency for the full story.",Crawford,Advertising Services,11-50 employees,Privately Held,"Greenville, South Carolina",United States,crawford.agency,https://www.linkedin.com/company/crawfordagency,,,,,,,,,,,,,,,,
"REC Philly is a premiere creative agency based in Philadelphia specializing in connecting brands authentically with Gen Z and Millennial audiences.

We build a team of creative avengers for each of our clients—handpicking the best talent across strategy, storytelling, design, and production to execute with precision. Every project is powered by a custom-built, top-tier creative force dedicated to delivering results. We're an immersive creative agency powered by: 

- A vast network of 1000+ creators
- A 10,000 sq. ft. multimedia studio and venue called REC Studios
- Digital platforms reaching 200,000+ combined

Because of this we offer IRL and digital opportunities with in-house turnkey solutions to achieve your goals efficiently.

With over 100 brand partnerships—including Google, Comcast, Red Bull, Live Nation and more—we’ve brought 1,000+ projects to life that shape culture and drive real results. Some of our most impactful work includes:

- Developing and launching Underdog Apparel, a nonprofit brand for Jason Kelce.
- Producing Creator Day for Google, a full-day conference and activation at REC Studios empowering creators.
- Building Amplify Philly, Philadelphia’s flagship SXSW activation.
- Securing naming rights sponsorships, like Live Nation as the title sponsor for the main stage at REC Studios.
- Creating a Creative Entrepreneurship program—impacting over 100 students across 10+ schools to help them develop creative skills and prepare for post-secondary success.
- Producing ""Road to Roots,"" a mini-documentary presented by PECO, spotlighting rising talent on their journey to the Roots Picnic stage",REC Philly,Marketing Services,11-50 employees,Partnership,"Philadelphia, Pennsylvania",United States,joinrec.com,https://www.linkedin.com/company/rec-philly,,,,,,,,,,,,,,,,
"The Bespoke Method - 
Harnessing the power of our most compelling resources to attract the world’s most qualified audiences.

Bespoke Luxury Marketing is a fully integrated branding and marketing agency. 
Powered by industry-leading creative, research, and strategy; Bespoke provides turn-key access to the most coveted and capable network of luxury consumers and professionals. 

Working collaboratively, innovatively, and purposefully for those in our network, ""The Bespoke Method"" continues to prove that client service is not a lost art, but instead, something to be reimagined.  

Join us as we stay ahead of the curve—leading trends and attracting the most qualified audiences wherever we go.    

The Bespoke Company Portfolio
-Bespoke Luxury Marketing
-Bespoke Real Estate 
-Bespoke Luxury Magazine
-Bespoke Arch Viz
-Bespoke Private Circle

And we’re just getting started…",Bespoke Luxury Marketing,Advertising Services,11-50 employees,Privately Held,"New York, New York",United States,bespokeluxurymarketing.com,https://www.linkedin.com/company/bespoke-companies,,,,,,,,,,,,,,,,
"An award-winning creative + marketing agency blueprinting iconic digital brands through avant-visuals // avant-strategy in music, tech, lifestyle + fashion.",AUSTERE,Marketing Services,11-50 employees,Privately Held,"Dallas, Texas",United States,byaustere.com,https://www.linkedin.com/company/byaustere,,,,,,,,,,,,,,,,
Perfil Oficial de Agencia Efeagro | Tu fuente de noticias veraces sobre el sector agroalimentario en toda su cadena de valor | Otros perfiles https://mtr.bio/efeagro,Efeagro,Online Audio and Video Media,11-50 employees,Privately Held,"Madrid, Madrid",Spain,efeagro.com,https://www.linkedin.com/company/efeagro-s-a,,,,,,,,,,,,,,,,
"Will is a powerful thing. It’s the courage to do what others won’t. It’s the high dive. The extra mile. The bold truth. It’s knowing that the greatest rewards lie beyond the beaten path. And trusting that, together, we have the ability to reach them. We’re here for people, businesses, and brands who dare to be different. Because we’re all better when we’re brave.

Will is a full-service creative agency, which is a really boring way of saying “we make stuff.” But we don’t just make any old stuff. Whether it’s a brand, a campaign or a bowl of guacamole, we connect insight and instinct to create things that are unignorable. 

It takes strategy. It takes creativity. But, most importantly, it takes the will to do what others won’t. We’re here to inspire bravery in our clients, our work, and each other. Because the ideas that keep us up at night are the same ones we get out of bed for every morning. There’s no honesty without courage, no different without daring, and no team without tenacity. We’re all better when we’re brave. Or at least, a lot more interesting.",WILL,Advertising Services,11-50 employees,Privately Held,"Vancouver, British Columbia",Canada,hiwill.ca,https://www.linkedin.com/company/will-creative-inc-,,,,,,,,,,,,,,,,
"We design like artists. Program like nerds. Think like business people.

At the core, we are a digital agency that combines creative design, marketing strategies and custom development to fuel your business’s growth.

Our versatile team of developers, designers and marketing professionals help clients navigate the fast-paced digital landscape to effectively grow businesses and build-up brands.

Our integrated approach allows us to use tech and creative marketing to build up your brand, generate leads and dominate the space within your vertical.",Rank Media Agency,Advertising Services,11-50 employees,Privately Held,"Montreal, Quebec",Canada,rankmedia.com,https://www.linkedin.com/company/rank-media-agency,,,,,,,,,,,,,,,,
"With over 14 years of experience and the fascination for digital innovation, we are a full-service agency for real estate marketing solutions and product visualizations.

EVE Images was founded in 2008 in Oslo by Justus Ettemeyer and Chris Vonholm and is today based in Berlin, Oslo and Budapest. Since the founding EVE grew up to over 80 employees from various disciplines, sharing one love: creating realistic visuals and innovative solutions.

We are creators, makers, designers and artists who have been driven over the years by one thing: The love for creating visuals with impact and developing experiences with a lasting impression.",EVE Visual Technologies,Advertising Services,11-50 employees,Public Company,"Berlin, Berlin",Germany,eve.tech,https://www.linkedin.com/company/eve-visual-technologies,,,,,,,,,,,,,,,,
"Clever Creative builds people-first brands. Branding is so much more than logos and taglines; it’s about creating living stories that can evolve, inspire connection, and create community. That’s why we start every project with your people — we become experts in your team and your audiences to uncover the truths that will ground our strategy and inspire our creative work. 

With over 20 years of experience across industries like entertainment, transportation, pet care, and beauty, our LA-based, female-founded team brings brands to life with heart, wisdom, and purpose ",Clever Creative,Advertising Services,11-50 employees,Privately Held,"Los Angeles, CA",United States,clevercreative.com,https://www.linkedin.com/company/clever-creative-agency,,,,,,,,,,,,,,,,
"Bolt Influence conçoit des dispositifs clé en main et sur mesure afin d’aider les marques à établir leur stratégie d’influence marketing. 

Bolt influence c’est 4 métiers :
- Du conseil en stratégie d’influence sur l’ensemble des réseaux sociaux
--> La stratégie est notre coeur de métier, notre expertise.  
--> Trouver la raison d’être d’une marque, lui donner de la valeur et de la pertinence. 
- Du conseil en social média
- De la création de contenu
- Une agence de talents

Notre engagement est d'allier la créativité au service des marques ",Bolt Influence,Advertising Services,11-50 employees,Privately Held,"Paris, Ile-de-France",France,bolt-influence.com,https://www.linkedin.com/company/bolt-influence,,,,,,,,,,,,,,,,
